Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Transcript start (bp)	Transcript end (bp)	Strand	Gene name	Genomic coding start	Genomic coding end	cDNA coding start	cDNA coding end	CDS start	CDS end	Exon region start (bp)	Exon region end (bp)	CDS Length
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202514888	202514979	1825	1916	530	621	202514888	202514979	3117
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202518822	202519052	1917	2147	622	852	202518822	202519052	3117
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202520087	202520201	2148	2262	853	967	202520087	202520201	3117
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202530794	202530954	2263	2423	968	1128	202530794	202530954	3117
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202532585	202532732	2424	2571	1129	1276	202532585	202532732	3117
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202542311	202542447	2572	2708	1277	1413	202542311	202542447	3117
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202552716	202552888	2709	2881	1414	1586	202552716	202552888	3117
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202555252	202556531	2882	4161	1587	2866	202555252	202556531	3117
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202559696	202559946	4162	4412	2867	3117	202559696	202567751	3117
ENSG00000130037	ENSG00000130037.4	ENST00000252321	ENST00000252321.4	12	5043989	5046788	5043989	5046788	1	KCNA5	5044148	5045989	160	2001	1	1842	5043989	5046788	1842
ENSG00000120693	ENSG00000120693.13	ENST00000399275	ENST00000399275.6	13	36844831	36920765	36844831	36879829	-1	SMAD9	36879278	36879689	141	552	1	412	36879278	36879829	1404
ENSG00000120693	ENSG00000120693.13	ENST00000399275	ENST00000399275.6	13	36844831	36920765	36844831	36879829	-1	SMAD9	36872658	36872915	553	810	413	670	36872658	36872915	1404
ENSG00000120693	ENSG00000120693.13	ENST00000399275	ENST00000399275.6	13	36844831	36920765	36844831	36879829	-1	SMAD9	36867273	36867383	811	921	671	781	36867273	36867383	1404
ENSG00000120693	ENSG00000120693.13	ENST00000399275	ENST00000399275.6	13	36844831	36920765	36844831	36879829	-1	SMAD9	36865537	36865758	922	1143	782	1003	36865537	36865758	1404
ENSG00000120693	ENSG00000120693.13	ENST00000399275	ENST00000399275.6	13	36844831	36920765	36844831	36879829	-1	SMAD9	36853419	36853675	1144	1400	1004	1260	36853419	36853675	1404
ENSG00000120693	ENSG00000120693.13	ENST00000399275	ENST00000399275.6	13	36844831	36920765	36844831	36879829	-1	SMAD9	36848676	36848819	1401	1544	1261	1404	36844831	36848819	1404
ENSG00000141646	ENSG00000141646.13	ENST00000398417	ENST00000398417.6	18	51028394	51085045	51029614	51085045	1	SMAD4	51047047	51047295	259	507	1	249	51046920	51047295	1659
ENSG00000141646	ENSG00000141646.13	ENST00000342988	ENST00000342988.7	18	51028394	51085045	51030213	51085039	1	SMAD4	51047047	51047295	539	787	1	249	51046920	51047295	1659
ENSG00000141646	ENSG00000141646.13	ENST00000342988	ENST00000342988.7	18	51028394	51085045	51030213	51085039	1	SMAD4	51048686	51048860	788	962	250	424	51048686	51048860	1659
ENSG00000141646	ENSG00000141646.13	ENST00000342988	ENST00000342988.7	18	51028394	51085045	51030213	51085039	1	SMAD4	51049295	51049324	963	992	425	454	51049295	51049324	1659
ENSG00000141646	ENSG00000141646.13	ENST00000342988	ENST00000342988.7	18	51028394	51085045	51030213	51085039	1	SMAD4	51054781	51054993	993	1205	455	667	51054781	51054993	1659
ENSG00000141646	ENSG00000141646.13	ENST00000342988	ENST00000342988.7	18	51028394	51085045	51030213	51085039	1	SMAD4	51058125	51058244	1206	1325	668	787	51058125	51058244	1659
ENSG00000141646	ENSG00000141646.13	ENST00000342988	ENST00000342988.7	18	51028394	51085045	51030213	51085039	1	SMAD4	51058340	51058456	1326	1442	788	904	51058340	51058456	1659
ENSG00000141646	ENSG00000141646.13	ENST00000342988	ENST00000342988.7	18	51028394	51085045	51030213	51085039	1	SMAD4	51059866	51059916	1443	1493	905	955	51059866	51059916	1659
ENSG00000141646	ENSG00000141646.13	ENST00000342988	ENST00000342988.7	18	51028394	51085045	51030213	51085039	1	SMAD4	51065423	51065606	1494	1677	956	1139	51065423	51065606	1659
ENSG00000141646	ENSG00000141646.13	ENST00000342988	ENST00000342988.7	18	51028394	51085045	51030213	51085039	1	SMAD4	51067019	51067187	1678	1846	1140	1308	51067019	51067187	1659
ENSG00000141646	ENSG00000141646.13	ENST00000342988	ENST00000342988.7	18	51028394	51085045	51030213	51085039	1	SMAD4	51076638	51076776	1847	1985	1309	1447	51076638	51076776	1659
ENSG00000141646	ENSG00000141646.13	ENST00000342988	ENST00000342988.7	18	51028394	51085045	51030213	51085039	1	SMAD4							51030213	51030623	1659
ENSG00000141646	ENSG00000141646.13	ENST00000342988	ENST00000342988.7	18	51028394	51085045	51030213	51085039	1	SMAD4	51078256	51078467	1986	2197	1448	1659	51078256	51085039	1659
ENSG00000105974	ENSG00000105974.12	ENST00000341049	ENST00000341049.7	7	116525001	116561184	116525036	116561179	1	CAV1	116525063	116525092	28	57	1	30	116525036	116525092	537
ENSG00000105974	ENSG00000105974.12	ENST00000341049	ENST00000341049.7	7	116525001	116561184	116525036	116561179	1	CAV1	116526525	116526689	58	222	31	195	116526525	116526689	537
ENSG00000105974	ENSG00000105974.12	ENST00000341049	ENST00000341049.7	7	116525001	116561184	116525036	116561179	1	CAV1	116558946	116559287	223	564	196	537	116558946	116561179	537
ENSG00000171303	ENSG00000171303.7	ENST00000302909	ENST00000302909.4	2	26692690	26733420	26692722	26733420	1	KCNK3	26692876	26693158	155	437	1	283	26692722	26693158	1185
ENSG00000171303	ENSG00000171303.7	ENST00000302909	ENST00000302909.4	2	26692690	26733420	26692722	26733420	1	KCNK3	26727667	26728568	438	1339	284	1185	26727667	26733420	1185
